datetime,Vancouver
2016-08-19 23:00:00.000,307
2016-08-19 22:00:00.000,306.69
2016-08-20 00:00:00.000,306.69
2016-08-20 01:00:00.000,306.06
2016-08-19 21:00:00.000,305.9
2016-08-20 02:00:00.000,305.3
2016-08-19 20:00:00.000,304.6
2016-08-19 19:00:00.000,304.22
2016-08-19 01:00:00.000,303.84
2016-08-19 00:00:00.000,303.77
2015-07-05 23:00:00.000,303.72
2016-08-18 23:00:00.000,303.57
2015-07-06 00:00:00.000,303.47
2016-08-19 02:00:00.000,303.4
2015-07-05 22:00:00.000,303.35
2016-08-18 22:00:00.000,303.17
2015-07-05 21:00:00.000,303.02
2016-08-19 18:00:00.000,302.86
2015-07-20 01:00:00.000,302.76
2016-08-26 00:00:00.000,302.72
2015-07-03 01:00:00.000,302.72
2015-06-28 01:00:00.000,302.71
2015-06-28 00:00:00.000,302.68
2015-07-20 02:00:00.000,302.64
2015-07-03 00:00:00.000,302.63
2015-07-03 02:00:00.000,302.58
2016-08-26 01:00:00.000,302.57
2015-07-05 20:00:00.000,302.56
2015-07-06 01:00:00.000,302.54
2017-09-05 00:00:00.000,302.51
2016-08-18 21:00:00.000,302.499291339
2015-06-28 02:00:00.000,302.47
2015-07-19 00:00:00.000,302.45
2015-07-20 00:00:00.000,302.44
2015-07-19 01:00:00.000,302.44
2015-07-02 23:00:00.000,302.41
2016-08-25 23:00:00.000,302.4
2015-07-31 01:00:00.000,302.36
2017-09-04 23:00:00.000,302.35
2017-09-04 22:00:00.000,302.31
2016-06-06 00:00:00.000,302.31
2016-08-13 01:00:00.000,302.29
2015-07-19 02:00:00.000,302.17
2015-06-27 23:00:00.000,302.16
2015-07-31 00:00:00.000,302.11
2017-09-05 01:00:00.000,302.09
2015-07-18 23:00:00.000,302.07
2016-08-18 20:00:00.000,302.03
2013-07-17 23:00:00.000,301.97
2015-07-06 02:00:00.000,301.96
2015-07-19 23:00:00.000,301.95
2016-06-06 01:00:00.000,301.92
2015-07-02 01:00:00.000,301.92
2015-07-31 02:00:00.000,301.86
2015-06-28 03:00:00.000,301.84
2017-09-04 00:00:00.000,301.83
2016-08-25 22:00:00.000,301.77
2016-08-26 02:00:00.000,301.76
2016-08-27 00:00:00.000,301.74
2015-06-27 22:00:00.000,301.71
2014-07-16 02:00:00.000,301.68
2016-06-05 23:00:00.000,301.67
2015-06-30 00:00:00.000,301.67
2017-09-03 23:00:00.000,301.63
2015-07-02 00:00:00.000,301.62
2015-06-29 22:00:00.000,301.6
2015-07-19 22:00:00.000,301.59
2015-06-30 01:00:00.000,301.57
2015-07-02 02:00:00.000,301.57
2015-07-02 22:00:00.000,301.51
2015-07-04 01:00:00.000,301.51
2015-07-30 22:00:00.000,301.51
2015-08-01 00:00:00.000,301.5
2017-09-04 21:00:00.000,301.49
2014-07-29 01:00:00.000,301.47
2016-08-26 23:00:00.000,301.47
2015-07-20 03:00:00.000,301.47
2015-06-29 23:00:00.000,301.47
2017-09-04 01:00:00.000,301.43
2015-07-01 23:00:00.000,301.43
2016-06-05 22:00:00.000,301.42
2014-07-02 02:00:00.000,301.41
2015-07-04 00:00:00.000,301.41
2015-07-05 02:00:00.000,301.41
2015-08-12 01:00:00.000,301.41
2016-08-20 03:00:00.000,301.39
2016-08-13 23:00:00.000,301.37
2015-08-13 00:00:00.000,301.37
2017-08-03 01:00:00.000,301.36
2017-08-29 22:00:00.000,301.36
2017-08-30 00:00:00.000,301.36
2015-07-05 00:00:00.000,301.36
2016-08-27 01:00:00.000,301.36
2016-08-13 00:00:00.000,301.36
2016-08-21 00:00:00.000,301.35
2016-08-14 01:00:00.000,301.33
2015-07-05 19:00:00.000,301.33
2015-06-30 02:00:00.000,301.32
2014-08-01 00:00:00.000,301.31
2015-06-29 21:00:00.000,301.31
2016-06-06 02:00:00.000,301.31
2016-08-26 22:00:00.000,301.29
2015-07-05 01:00:00.000,301.29
2017-09-03 01:00:00.000,301.28
2017-09-03 00:00:00.000,301.28
2015-07-30 23:00:00.000,301.28
2015-08-12 00:00:00.000,301.27
2017-09-03 02:00:00.000,301.26
2017-09-04 02:00:00.000,301.25
2017-09-02 23:00:00.000,301.22
2015-07-04 23:00:00.000,301.22
2016-08-13 02:00:00.000,301.22
2016-08-13 22:00:00.000,301.21
2015-07-18 22:00:00.000,301.19
2013-07-17 22:00:00.000,301.17
2015-07-31 23:00:00.000,301.17
2015-07-04 02:00:00.000,301.17
2015-06-27 21:00:00.000,301.17
2015-06-27 02:00:00.000,301.15
2014-08-11 23:00:00.000,301.14
2015-07-03 22:00:00.000,301.14
2015-06-27 01:00:00.000,301.14
2017-08-03 00:00:00.000,301.13
2015-07-01 22:00:00.000,301.12
2015-08-02 00:00:00.000,301.12
2017-08-03 02:00:00.000,301.11
2016-08-25 21:00:00.000,301.11
2015-07-31 22:00:00.000,301.1
2015-07-19 21:00:00.000,301.09
2017-09-05 02:00:00.000,301.08
2015-07-04 22:00:00.000,301.08
2014-08-02 20:00:00.000,301.07
2015-08-12 23:00:00.000,301.06
2016-08-12 23:00:00.000,301.04
2015-08-01 01:00:00.000,301.04
2017-08-04 01:00:00.000,301.03
2017-08-22 23:00:00.000,301.02
2015-07-02 21:00:00.000,301.02
2015-07-03 03:00:00.000,301.01
2014-08-10 23:00:00.000,301
2015-07-03 23:00:00.000,301
2015-06-28 19:00:00.000,301
2015-08-02 01:00:00.000,300.99
2016-08-13 21:00:00.000,300.98
2017-08-02 23:00:00.000,300.95
2015-06-27 00:00:00.000,300.94
2015-08-12 02:00:00.000,300.93
2015-08-01 02:00:00.000,300.91
2015-08-11 23:00:00.000,300.91
2014-07-30 00:00:00.000,300.91
2014-07-28 22:00:00.000,300.9
2015-08-01 23:00:00.000,300.9
2017-08-29 00:00:00.000,300.9
2017-09-04 20:00:00.000,300.88
2015-07-02 03:00:00.000,300.88
2016-08-14 00:00:00.000,300.87
2015-08-13 01:00:00.000,300.87
2014-07-29 00:00:00.000,300.86
2014-08-01 01:00:00.000,300.85
2015-07-01 21:00:00.000,300.85
2017-08-29 01:00:00.000,300.85
2017-08-23 00:00:00.000,300.84
2017-09-03 22:00:00.000,300.84
2015-07-30 21:00:00.000,300.84
2015-08-19 01:00:00.000,300.82
2015-07-19 03:00:00.000,300.81
2015-08-19 00:00:00.000,300.79
2015-06-27 20:00:00.000,300.78
2017-08-29 23:00:00.000,300.76
2016-08-21 01:00:00.000,300.76
2015-06-26 23:00:00.000,300.76
2015-07-10 00:00:00.000,300.76
2015-07-10 01:00:00.000,300.75
2016-06-05 21:00:00.000,300.75
2014-07-16 00:00:00.000,300.74
2014-07-31 22:00:00.000,300.74
2016-08-27 02:00:00.000,300.73
2016-08-12 22:00:00.000,300.68
2014-07-31 23:00:00.000,300.64
2014-08-11 01:00:00.000,300.62
2016-08-25 00:00:00.000,300.61
2014-08-11 00:00:00.000,300.61
2013-07-18 00:00:00.000,300.605
2015-07-09 23:00:00.000,300.59
2015-06-27 03:00:00.000,300.58
2016-08-13 20:00:00.000,300.57
2015-08-02 02:00:00.000,300.56
2015-08-01 22:00:00.000,300.56
2015-07-04 21:00:00.000,300.56
2014-07-30 01:00:00.000,300.55
2015-07-10 02:00:00.000,300.51
2013-07-17 21:00:00.000,300.5
2014-08-12 00:00:00.000,300.48
2014-07-14 01:00:00.000,300.46
2016-08-14 02:00:00.000,300.46
2017-08-04 00:00:00.000,300.45
2016-08-26 21:00:00.000,300.44
2017-08-28 01:00:00.000,300.43
2016-08-18 19:00:00.000,300.43
2015-07-18 21:00:00.000,300.43
2014-08-10 22:00:00.000,300.42
2014-07-28 21:00:00.000,300.41
2014-08-03 00:00:00.000,300.39
2015-08-19 02:00:00.000,300.38
2015-06-26 21:00:00.000,300.38
2017-08-29 21:00:00.000,300.37
2016-08-12 21:00:00.000,300.36
2015-06-29 20:00:00.000,300.36
2015-07-31 03:00:00.000,300.35
2017-07-07 00:00:00.000,300.34
2016-08-20 23:00:00.000,300.33
2016-08-25 02:00:00.000,300.33
2015-08-18 23:00:00.000,300.33
2014-07-17 01:00:00.000,300.33
2014-08-01 22:00:00.000,300.32
2017-08-03 23:00:00.000,300.31
2015-07-19 20:00:00.000,300.31
2014-07-28 23:00:00.000,300.31
2014-07-31 00:00:00.000,300.3
2014-08-03 01:00:00.000,300.294421229
2017-09-02 22:00:00.000,300.29
2017-08-28 23:00:00.000,300.29
2017-08-28 00:00:00.000,300.27
2014-07-16 01:00:00.000,300.26
2014-08-02 22:00:00.000,300.25
2017-08-28 02:00:00.000,300.23
